법정동,단지명,주소,세대수,준공연도,브랜드,건축유형,역세권,노선,전용면적,평형,2025.03,거래일,2024.01~03,2022.01~03,2025.05_추정_실거래가,2025.05_보정_추정실거래가,20250521호가,기준단지_평단가,보정_평단가,유사단지,대지지분,추정가,추천 태그,리포트 링크
잠원동,성진준빌라트,신반포로41길 31,19.0,2003.0,나홀로,기축,N,"3, 신분당선",143.1,48.0,5.6,2006.1,-,-,28.43,21.3,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 32,19.0,2003.0,나홀로,기축,N,"3, 신분당선",138.51,46.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 33,19.0,2003.0,나홀로,기축,N,"3, 신분당선",134.08,45.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 34,19.0,2003.0,나홀로,기축,N,"3, 신분당선",131.9,44.0,5.4,2006.06,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 35,19.0,2003.0,나홀로,기축,N,"3, 신분당선",112.48,38.0,6.3,2016.08,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 36,19.0,2003.0,나홀로,기축,N,"3, 신분당선",84.91,28.0,4.35,2015.06,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 37,19.0,2003.0,나홀로,기축,N,"3, 신분당선",62.23,21.0,5.48,2018.01,-,-,28.43,24.9,-,0.0,,,,,,
잠원동,성진준빌라트,신반포로41길 38,19.0,2003.0,나홀로,기축,N,"3, 신분당선",56.72,19.0,4.1,2025.01,-,-,28.43,32.71616541353384,-,0.0,,,,,,
잠원동,세인트빌,잠원로 205,5.0,2004.0,나홀로,기축,N,"3, 신분당선",79.11,29.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,세인트빌,잠원로 206,5.0,2004.0,나홀로,기축,N,"3, 신분당선",59.21,22.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,신반포 12차,잠원로14길 41,324.0,1982.0,80년대형,재건축,Y,"3, 신분당선",106.19,34.0,19.6,2019.12,-,-,28.43,21.3,-,0.0,,,,,,
잠원동,신반포 12차,잠원로14길 42,324.0,1982.0,80년대형,재건축,Y,"3, 신분당선",105.36,34.0,30.7,2025.03,-,-,30.7,30.7,35,0.29138192862566437,,,,,,
잠원동,신반포 12차,잠원로14길 43,324.0,1982.0,80년대형,재건축,Y,"3, 신분당선",76.4,24.0,16.5,2020.06,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 12차,잠원로14길 44,324.0,1982.0,80년대형,재건축,Y,"3, 신분당선",75.79,24.0,26.3,2025.02,-,-,26.3,26.3,30,0.3470114790869508,,,,,,
잠원동,신반포 12차,잠원로14길 45,324.0,1982.0,80년대형,재건축,Y,"3, 신분당선",56.2,17.0,15.93,2024.05,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 12차,잠원로14길 46,324.0,1982.0,80년대형,재건축,Y,"3, 신분당선",55.45,17.0,17.8,2024.06,-,-,28.43,28.43,24,0.0,,,,,,
잠원동,신반포 16차,잠원로 157,396.0,1983.0,80년대형,재건축,N,"3, 7",83.12,27.0,28.2,2024.11,-,25.8,29.04862470828604,29.04862470828604,38.5,0.34947816059054426,,,,,,
잠원동,신반포 16차,잠원로 158,396.0,1983.0,80년대형,재건축,N,"3, 7",52.32,17.0,22,2025.03,17.6,18.95,22.0,22.0,23.5,0.42048929663608564,,,,,,
잠원동,신반포 18차,잠원로 195,182.0,1983.0,80년대형,재건축,N,"3, 7",111.75,37.0,19,2018.12,-,-,28.43,28.43,37,0.0,,,,,,
잠원동,신반포 18차,잠원로 196,182.0,1983.0,80년대형,재건축,N,"3, 7",50.64,16.0,16.4281,2021.11,-,-,28.43,0.0,35,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 20,242.0,1982.0,80년대형,재건축,Y,"3, 7",109.06,36.0,-,,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 21,242.0,1982.0,80년대형,재건축,Y,"3, 7",109.88,36.0,14.55,2017.07,-,-,28.43,28.43,35,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 22,242.0,1982.0,80년대형,재건축,Y,"3, 7",107.93,36.0,33.7,2025.02,-,-,33.7,33.7,36.5,0.31223941443528214,,,,,,
잠원동,신반포 19차,잠원로8길 23,242.0,1982.0,80년대형,재건축,Y,"3, 7",108.01,35.0,25.6,2024.06,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 24,242.0,1982.0,80년대형,재건축,Y,"3, 7",107.01,35.0,-,-,-,-,0.0,0.0,36.5,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 25,242.0,1982.0,80년대형,재건축,Y,"3, 7",82.42,27.0,7.4,2015.05,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 26,242.0,1982.0,80년대형,재건축,Y,"3, 7",81.88,27.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 27,242.0,1982.0,80년대형,재건축,Y,"3, 7",81.01,26.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,신반포 19차,잠원로8길 28,242.0,1982.0,80년대형,재건축,Y,"3, 7",81.0,27.0,25.8,2025.02,-,-,25.8,25.8,-,0.31851851851851853,,,,,,
잠원동,신반포 19차,잠원로8길 29,242.0,1982.0,80년대형,재건축,Y,"3, 7",80.25,26.0,-,-,23,-,0.0,0.0,31,0.0,,,,,,
잠원동,신반포 20차,나루터로4길 60,112.0,1983.0,80년대형,재건축,Y,"3, 7",143.95,47.0,36,2025.03,-,-,36.0,36.0,40,0.25008683570684265,,,,,,
잠원동,신반포 21차,신반포로 267,108.0,1984.0,80년대형,신축,Y,7,,,,,-,-,0.0,,,0.0,,,,,,
잠원동,신반포 22차,잠원로 86,132.0,1983.0,80년대형,재건축,Y,3,118.9,38.0,11.45,2015.06,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 22차,잠원로 87,132.0,1983.0,80년대형,재건축,Y,3,118.89,38.0,16.95,2017.12,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 22차,잠원로 88,132.0,1983.0,80년대형,재건축,Y,3,117.16,38.0,13,2017.04,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,신반포 22차,잠원로 89,132.0,1983.0,80년대형,재건축,Y,3,117.15,38.0,28.8,2021.08,-,-,28.43,28.43,32,0.0,,,,,,
잠원동,신반포 22차,잠원로 90,132.0,1983.0,80년대형,재건축,Y,3,105.57,34.0,13.55,2017.05,-,-,28.43,24.9,-,0.0,,,,,,
잠원동,신반포 22차,잠원로 91,132.0,1983.0,80년대형,재건축,Y,3,104.02,34.0,20,2020.06,-,-,28.43,32.71616541353384,35,0.0,,,,,,
잠원동,신반포 25차,잠원로 136,169.0,1983.0,80년대형,재건축,Y,3,117.06,38.0,27.5,2021.07,-,-,28.43,28.43,40,0.0,,,,,,
